Article,Date,Heading,NewsType
"KARACHI: Provincial Finance Minister Murad Ali Shah has stated that tax rate in Sindh is the lowest among all the other provinces.Addressing post budget press conference here Sunday, Murad Ali Shah said tax on services is also very low as compared to other units of the federation.To facilitate the masses, tax rate in some new sectors has been decreased from 15 to 14 per cent, said Murad Ali Shah.Making it clear, the finance minister said 70pc budget funds come from the federation. He claimed that Sindh police salaries were high as compared to that of Punjab police.",6/14/2015,tax rate in sindh lowest among all other provinces murad,business
"KARACHI: CNG stations will remain shut in Sindh on second consecutive day, Tuesday and will reopen on Wednesday morning after 48 hours of closure.According to Sui Southern Gas Company, closure of CNG outlets has been extended due to shortage of gas supply.Now, CNG pumps will reopen at 8:00AM on Wednesday morning after 48 hours of closure.It may be noted here that SSGC often changes CNG closure schedule, resulting daily commuter suffer severely.",6/22/2015,cng stations to remain shut on 2nd consecutive day tuesday,business
"LAHORE: Pakistan Railways has announced 30 percent reduction in fares of all the passenger trains on the eve of Eidul Fitr.The discount will be available for the first two days of the upcoming Eid, the announcement said.Fares of special Eid trains will also be lowered by 30 percent.However, the discount will not be available to journalists, scouts, students and senior citizens, as they already enjoy concessions in train fares.",7/11/2015,pr slashes fares by 30pc for all passenger trains on eid,business
"ISLAMABAD: The government has decided to cut petroleum prices for the month of August in a monthly review of prices, Geo News reported.According to details, price of petrol has been cut by Rs1.30 per liter, bringing new price to Rs 76.49. The price of diesel per liter has been reduced to Rs84.52 after a decrease of Rs2.60.New prices would be applicable from midnight.",7/31/2015,govt decides to cut pol pri,business
"KARACHI: The value of US dollar once again seems to be going out of control, as it climbed to Rs105.70 in the open market on Wednesday.According to sources, the greenback saw a rise in the Inter bank as well and closed at Rs105.51.Banks have been directed not to carry out transactions of dollar at lower than Rs105.50.",10/28/2015,dollar jumps to rs105.70 in open mar,business
"ISLAMABAD: Liquefied Petroleum Gas marketing companies have increased price of LPG by Rs 8 per kg following increase in import duty and its demand.Chairman LPG Distributions Association, Irfan Khokhar said price of domestic cylinder is hiked by Rs 100 and commercial cylinder by Rs 400.Khokhar said the new price of LPG in Karachi would be Rs 85 per kg with domestic cylinder at Rs970. In Lahore and Peshawar the price of LPG had been raised to Rs 90 per kg with domestic cylinder at Rs 1030 while in AJK Rawalpindi and Islamabad of LPG would available at Rs100 per kg with domestic cylinder at Rs 1150.In Northern area, the price has climbed to Rs120 per kg.He demanded of the government to abolish duties and taxes on import of LPG in order to encourage more its import for meeting local demand.",11/2/2015,lpg price up by rs 8 per kg,business
"MEXICO: Popular burrito chain Chipotle Mexican Grill Inc will close its restaurants for a few hours next month to hold a meeting on food safety with employees, company executives said.Chipotle, which has been plagued by a series of food poisoning outbreaks, will hold the meeting on Feb.8, the executives said at the ICR Conference on Wednesday.Chipotle is confident that steps being taken to tighten food safety will prevent future food poisoning outbreaks, the executives said.",1/16/2016,Chipotle to shut outlets next month for food safety meeting,business
"KARACHI: Pakistan blind cricket team kept their winning streak intact in the ongoing Asia Cup T20 Cricket for Blind, winning their third consecutive match against Sri Lanka by 90 runs and in the process qualified for the summit clash of the tournament on Thursday.According to information made available here, Sri Lanka won the toss and invited Pakistan to bat first at Jawaharlal Nehru International Stadium in Kochi, India.Pakistan posted a massive total of 214 runs on board for the loss of eight wickets in allotted 20 overs.Muhammad Akram was the top scorer with 44 runs while Muhammad Ayyaz made 34 off 19 balls. Zahid Mehmood, Anees Javed and Amri Ishfaq made 29, 23 and 22 runs respectively. Kulam Lakmal took two wickets while Suman and Kalyan shared one wicket each.Sri Lanka in reply made 124 runs in allotted 20 overs for the loss of eight wickets. Deshpriya made 36 runs and Ruwan Washantha scored 33 runs. Muhammad Idrees Saleem took two wickets while Muhammad Ayyaz, Amir Ishfaq, Muhammad Akram and Sajid Nawaz took a wicket apiece. Muhammad Ayyaz received Man of the Match award.With this win, Pakistan blind cricket team qualified for the final of the Asia Cup. The other finalist team will be decided on Friday after the match between India and Sri Lanka.",1/21/2016,Pakistan tames Sri Lanka to qualify for Asia Cup fi,sports
"KARACHI: the 41st national Snooker Championship will be played in Karachi from February 15 and all the two finalists of the event will later represent Pakistan in the Asian Snooker Championship.This was told by Alamgir Shaikh, chief of the Pakistan Billiards and Snooker Association, during a press conference here on Tuesday.He said that eleven players would participate in the championship and they would be divided into eight groups.Former national champion Mohammad Yousuf has been given a wild entry while Hamza Akbar will defend his title in the event.Meanwhile, Pakistan number one Mohammad Asif has been declared top seed of the tournament.The final will be played on February 27 and both the finalists will represent Pakistan in the Asian Snooker Championship to be held in Doha, Qatar in April.",2/9/2016,National Snooker Cship beginning from Feb 15 in Karachi,sports
"DHAKA: Sabbir Rahman played a magnificent innings of 80 to enable Bangladesh set a daunting target of 148 runs for Sri Lanka in the fifth Twenty20 International of the Asia Cup here at the Shere Bangla National Stadium, Mirpur on Sunday.After captain Mashrafe Mortaza won the toss and opted to bat first Bangladesh made a disastrous start losing both the openers for only two runs on the board. Both Soumya Sarkar and Mohammad Mithun got a duck each.Later Mushfiqur Rahim also made exit, run out for four and Bangladesh were reeling on 26 for four in 4.5 overs.Then Sabbir and Shakib Al Hasan repaired the damage and added 82 runs in 15 overs for the fourth wicket.Sabbir scored 80 off 54 balls, hitting ten fours and three sixes.Later Shakib also departed for 32 and then Nurul hasan and Mashrafe also got out cheaply but Mahmudullah with his unbeaten 23 steered his team to 147 for seven in the 20 overs.Fast bowler Dushmanta Chameera was the most successful bowler for Sri Lanka, taking three wickets for 30 runs.",2/28/2016,Sabbir guides Bangladesh to 147 7 against Sri L,sports
"FAISALABAD: The arrangements were being finalized at Iqbal Stadium for organizing Pakistan Cricket Cup, a national level event from April 19 onwards.The caretaker of Iqbal Stadium informed that nine pitches including four new ones were ready in the stadium for organizing cricket tournament.He said the stadium had seating capacity for 18,000 spectators while necessary repair, maintenance, renovation, installation of electric fans, air conditions, chairs and lights were ongoing at VIP and general enclosures.The cricket teams of all the four provinces as well as Islamabad will participate in the tournament, which will continue till May1.",4/15/2016,Renovated Iqbal Stadium to host Pakistan Cricket Cu,sports
"MULTAN: The Pakistan Table Tennis Federation will hold Table Tennis Master Cup in Peshawar in the next month.According to sports sources, a schedule of matches would be announced soon while matches will be played on league system.The table tennis players including 32 men and 16 women, who had performed well during the 52nd National Table Tennis championship in Multan, would participate in the cup, the sources added.",4/23/2016,Table Tennis Master Cup to be held in May,sports
"WAH CANTT: Pakistan defended their title in Asia Kabaddi Cup 2016 defeating India by 19 points here on Friday.They achieved 50 points against 31 by their arch rivals in the final of the tournament.Pakistan won the title for the second time in a row.Earlier, both Pakistan and India remained unbeaten in their pool matches of the tournament.Pakistan had won their pool matches against Iran, Afghanistan, Nepal and Sri Lanka.",5/6/2016,Pakistan beat India to retain Asia Kabaddi Cu,sports
"QUETTA: Law and order situation has remarkably improved in country and Balochistan owing to successful actions of security forces against terrorists. It has brightened chances of holding international cricket matches in the country. Pakistan Cricket Board should also organise international matches and domestic cricket in Quetta as in other cities of the country. Provincial government would extend full cooperation in this connection.These views were expressed by Balochistan chief Minister Nawab Sanaullah Zehri while speaking with Chairman PCB Shahar Yar Khan, who held a meeting with him here Thursday. Provincial ministers, MPAs and Chief Secretary were also present at the meeting.Chief Minister said there is no dearth of talent among our youth. They should show best performance in cricket and other sports and brightened the name of the country.If PCB establishes cricket academy in Quetta then players of international standard would emerge.Chairman PCB Shahar Yar Khan, appreciating provincial government measures for improving law and order situation, said that PCMB would ensure organising international matches in Quetta.Efforts would be made that a match is organised with Afghan cricket team during its next visit to Pakistan.He said PCB would launch flood lights and other international standard facilities at the Bugti Cricket Stadium shortly.Besides cricket Academy was also being established in Quetta. Cricket grounds would also be built in all districts of the province.He asked chief minister for providing land for this.Chief minister assured that government would extend full cooperation for promotion of cricket and building grounds.He also stressed need for building cricket ground in Gwadar at the earliest. He also presented a souvenir to Chairman PCB.",5/19/2016,Bright chances of international cricket in Pakistan CM Balochi,sports
"LAHORE: The Pakistan Railways have launched electronic ticketing system today to facilitate the passengers.Railways MinisterKhawaja Saad Rafique inaugurated the system in a ceremony held here at the PR Headquarters.After the inauguration, the passengers will be able to pay for their tickets online via credit or debit cards, online bank transfers or micro transactions like UBL Omni Easypaisa or Mobicash.With the launch of digital ticketing system passengers will be able to book and pay for tickets from the comfort of their home by using computers or mobile phones.Moreover, the digital system will increase the seat capitalization for the railways and decrease chances of corruption.Everything will be handled electronically so tickets canbe booked quickly and efficiently with no human interaction.",10/3/2016,Pakistan Railways launches E ticketing sy,business
QUETTA:  A huge reserve of oil and gas has been found in Jandran area of Marri Agency of Balochistan.These gas reserves are said to be much bigger than gas found in Sui Dera Bugti in early1950.Well placed sources confirmed that gas reserve found in Jandran region is much bigger than gas found in Sui Gas reserves from Sui first and followed by two other big reserves at Pir Koh and Loti field. Sui gas was main cause of industrial revolution in Pakistan mainly in Karachi and Central Punjab where gas replaced oil as an energy substitute.The fourth gas reserve was also found in Bugti tribal territory in Uch Mountains and the gas is being used by a private concern producing electricity at the two Uch Power Plants near Dera Murad Jamali in Naseerabad.The electricity produced at Uch Power Plant is sold to WAPDA and transmitted to National Grid in nearby province of Sindh and mainly its upper region.,12/26/2016,Huge oil gas reserves found in Balochi,business
"ISLAMABAD: The Government has announced to raise prices of petroleum products by one rupee here on Wednesday.Finance minister Ishaq Dar while talking with media regarding changes in prices of petroleum products told that an increase of one rupee each in prices of petrol and diesel had been made while the Government would give a subsidy on kerosene oil and light diesel. Thus, the previous prices of light diesel and kerosene oil will remain unchanged.He said the new prices of the petrol products would effective from 12 tonight.",2/15/2017,Prices of petrol diesel up by one ru,business
